Date,Open,High,Low,Close
1973-01-31,8.02,8.02,8,8
1973-02-28,8,8.01,7.52,7.52
1973-03-31,7.55,7.94,7.19,7.55
1973-04-30,7.58,7.58,7.5,7.53
1973-05-31,7.54,7.55,7.35,7.39
1973-06-30,7.25,7.33,7.22,7.3
1973-07-31,7.3,7.49,7.25,7.49
1973-08-31,7.49,7.66,7.46,7.58
1973-09-30,7.58,7.78,7.55,7.75
1973-10-31,7.72,7.78,7.69,7.69
1973-11-30,7.68,8.06,7.68,8.06
1973-12-31,8.03,8.2,8.03,8.16
1974-01-31,8.16,8.62,8.16,8.55
1974-02-28,8.23,8.37,8.16,8.16
1974-03-31,8.2,8.2,7.81,7.81
1974-04-30,7.81,8,7.81,7.81
1974-05-31,7.81,7.87,7.72,7.87
1974-06-30,7.87,7.87,7.81,7.87
1974-07-31,7.81,7.87,7.81,7.87
1974-08-31,7.81,8.13,7.81,8.13
1974-09-30,8.13,8.13,8.06,8.06
1974-10-31,8.06,8.06,8.03,8.06
1974-11-30,8.06,8.1,8.03,8.06
1974-12-31,8.06,8.13,8,8.13
1975-01-31,8.13,8.13,8.13,8.13
1975-02-28,8.13,8.13,7.75,7.75
1975-03-31,7.75,7.75,7.75,7.75
1975-04-30,7.75,8,7.75,8
1975-05-31,8,8.16,8,8.1
1975-06-30,8.1,8.4,8.1,8.4
1975-07-31,8.4,8.55,8.4,8.51
1975-08-31,8.62,8.93,8.62,8.93
1975-09-30,8.93,8.94,8.77,8.94
1975-10-31,8.94,8.97,8.73,8.81
1975-11-30,8.81,9.09,8.81,9.09
1975-12-31,9.09,9.09,8.93,8.97
1976-01-31,8.97,8.97,8.91,8.91
1976-02-29,8.91,8.97,8.91,8.93
1976-03-31,8.93,9.09,8.93,8.97
1976-04-30,8.97,9.09,8.93,8.97
1976-05-31,8.97,9.3,8.97,9.3
1976-06-30,9.3,9.35,8.97,9.01
1976-07-31,9.01,9.01,8.89,8.97
1976-08-31,8.97,9.01,8.97,9.01
1976-09-30,9.01,9.17,8.85,8.85
1976-10-31,8.85,8.97,8.85,8.97
1976-11-30,8.97,9.05,8.73,8.93
1976-12-31,8.93,9.01,8.77,8.93
1977-01-31,8.93,9.01,8.81,8.81
1977-02-28,8.81,8.89,8.81,8.87
1977-03-31,8.87,8.87,8.82,8.82
1977-04-30,8.82,8.85,8.82,8.85
1977-05-31,8.85,8.85,8.81,8.83
1977-06-30,8.83,8.88,8.83,8.88
1977-07-31,8.81,8.85,8.73,8.73
1977-08-31,8.73,8.73,8.71,8.73
1977-09-30,8.73,8.73,8.73,8.73
1977-10-31,8.73,8.73,8.55,8.55
1977-11-30,8.55,8.7,8.55,8.62
1977-12-31,8.62,8.62,8.23,8.23
1978-01-31,8.47,8.47,8.1,8.1
1978-02-28,8.06,8.13,8.06,8.13
1978-03-31,8.13,8.33,8.1,8.33
1978-04-30,8.33,8.7,8.33,8.58
1978-05-31,8.58,8.67,8.44,8.44
1978-06-30,8.44,8.44,8.33,8.33
1978-07-31,8.26,8.26,7.97,7.97
1978-08-31,7.97,8.16,7.9,8.16
1978-09-30,8.16,8.16,7.97,7.97
1978-10-31,7.97,7.97,7.66,7.66
1978-11-30,7.66,8.33,7.66,8.33
1978-12-31,8.18,8.29,8.16,8.23
1979-01-31,8.08,8.33,8.08,8.29
1979-02-28,8.29,8.3,8.22,8.22
1979-03-31,8.22,8.3,8.16,8.16
1979-04-30,8.14,8.37,8.08,8.37
1979-05-31,8.37,8.39,8.16,8.16
1979-06-30,8.16,8.17,8,8.06
1979-07-31,8.01,8.01,7.75,7.96
1979-08-31,8,8.08,7.87,8.03
1979-09-30,8.08,8.24,8.03,8.07
1979-10-31,8.09,8.4,8.08,8.4
1979-11-30,8.32,8.37,8.03,8.03
1979-12-31,8,8.15,8,8
1980-01-31,8,8.06,7.85,8.06
1980-02-29,8.04,8.06,7.85,8.06
1980-03-31,8.08,8.22,8.08,8.22
1980-04-30,8.3,8.3,7.9,7.9
1980-05-31,7.9,7.9,7.71,7.75
1980-06-30,7.75,7.92,7.75,7.8
1980-07-31,7.8,7.8,7.73,7.8
1980-08-31,7.8,7.83,7.75,7.75
1980-09-30,7.73,7.8,7.72,7.75
1980-10-31,7.75,7.77,7.68,7.72
1980-11-30,7.72,7.85,7.7,7.82
1980-12-31,7.86,7.99,7.86,7.94
1981-01-31,7.89,8.1,7.81,8.1
1981-02-28,8.2,8.33,8.12,8.33
1981-03-31,8.33,8.33,8.16,8.27
1981-04-30,8.27,8.35,8.23,8.33
1981-05-31,8.35,8.5,8.33,8.48
1981-06-30,8.5,8.62,8.49,8.62
1981-07-31,8.65,9.02,8.65,9
1981-08-31,9.07,9.26,8.93,9.05
1981-09-30,9.05,9.24,9.01,9.12
1981-10-31,9.1,9.24,8.93,9.13
1981-11-30,9.17,9.18,9.08,9.12
1981-12-31,9.09,9.17,9.09,9.13
1982-01-31,9.07,9.2,9.07,9.14
1982-02-28,9.19,9.31,9.15,9.31
1982-03-31,9.29,9.36,9.23,9.35
1982-04-30,9.35,9.44,9.34,9.35
1982-05-31,9.32,9.39,9.21,9.39
1982-06-30,9.38,9.6,9.34,9.53
1982-07-31,9.57,9.66,9.47,9.56
1982-08-31,9.51,9.66,9.51,9.63
1982-09-30,9.65,9.71,9.54,9.71
1982-10-31,9.72,9.74,9.63,9.71
1982-11-30,9.76,9.86,9.71,9.74
1982-12-31,9.65,9.75,9.62,9.62
1983-01-31,9.62,9.91,9.62,9.91
1983-02-28,9.92,9.98,9.85,9.96
1983-03-31,9.98,10,9.92,10
1983-04-30,10,10,9.94,10
1983-05-31,10,10,9.9,9.98
1983-06-30,10,10.1,9.99,10
1983-07-31,10,10.1,10,10.1
1983-08-31,10.1,10.2,10.1,10.2
