Date,Open,High,Low,Close
1998-06-30,39.443,42.692,39.302,42.294
1998-09-30,42.46,43.451,42.351,42.374
1998-12-31,42.302,42.595,42.148,42.467
1999-03-31,42.551,42.703,42.378,42.429
1999-06-30,42.431,43.403,42.404,43.383
1999-09-30,43.38,43.588,43.197,43.568
1999-12-31,43.624,43.737,43.359,43.495
2000-03-31,43.42,43.6,43.41,43.55
2000-06-30,43.592,44.7,43.54,44.6
2000-09-30,44.6,46.25,44.6,45.9
2000-12-31,45.97,46.83,45.95,46.61
2001-03-31,46.66,46.713,46.29,46.607
2001-06-30,46.641,47.106,46.49,47.012
2001-09-30,47.018,48.431,47.001,47.826
2001-12-31,47.883,48.385,47.711,48.197
2002-03-31,48.293,48.895,48.011,48.758
2002-06-30,48.758,49.113,48.736,48.83
2002-09-30,48.859,48.906,48.305,48.319
2002-12-31,48.349,48.519,47.86,47.9
2003-03-31,48.027,48.03,47.373,47.559
2003-06-30,47.562,47.607,46.297,46.364
2003-09-30,46.362,46.511,45.647,45.652
2003-12-31,45.752,45.957,45.145,45.59
2004-03-31,45.5,45.71,43.3,43.3
2004-06-30,43.2,46.26,43.2,45.95
2004-09-30,45.94,46.495,45.58,45.9
2004-12-31,45.89,45.93,43.23,43.23
2005-03-31,43.37,44.08,43.24,43.68
2005-06-30,43.61,43.84,43.13,43.512
2005-09-30,43.52,44.17,43.36,43.92
2005-12-31,44.105,46.392,44.095,45.02
2006-03-31,45.071,45.093,43.995,44.619
2006-06-30,44.612,46.437,44.47,46.03
2006-09-30,45.977,47.05,45.82,45.92
2006-12-31,45.84,45.85,44.22,44.29
2007-03-31,44.21,44.66,43.09,43.51
2007-06-30,43.23,43.27,40.45,40.68
2007-09-30,40.66,41.87,39.69,39.73
2007-12-31,39.72,39.88,39.075,39.42
2008-03-31,39.41,40.82,39.25,39.94
2008-06-30,39.98,43.21,39.87,42.96
2008-09-30,43.085,47.7,41.82,47.18
2008-12-31,47.13,50.61,46.6,48.69
2009-03-31,48.96,52.16,48.23,50.84
2009-06-30,50.34,50.66,46.74,47.97
2009-09-30,48.09,49.43,47.46,47.79
2009-12-31,47.87,47.9,45.79,46.51
2010-03-31,46.48,46.86,44.89,44.96
2010-06-30,44.92,47.75,44.22,46.48
2010-09-30,46.73,47.35,44.83,44.83
