Date,Open,High,Low,Close
2000-01-31,43.42,43.6,43.41,43.55
2000-02-29,43.59,43.6,43.52,43.55
2000-03-31,43.55,43.59,43.5,43.55
2000-04-30,43.592,43.63,43.54,43.6
2000-05-31,43.62,44.5,43.55,44.5
2000-06-30,44.5,44.7,44.5,44.6
2000-07-31,44.6,44.95,44.6,44.95
2000-08-31,45,45.85,45,45.71
2000-09-30,45.7,46.25,45.5,45.9
2000-10-31,45.97,46.79,45.95,46.79
2000-11-30,46.7,46.83,46.54,46.79
2000-12-31,46.8,46.8,46.61,46.61
2001-01-31,46.66,46.68,46.29,46.43
2001-02-28,46.4,46.58,46.32,46.49
2001-03-31,46.49,46.713,46.46,46.607
2001-04-30,46.641,47.073,46.49,46.811
2001-05-31,46.827,47.084,46.755,46.978
2001-06-30,46.978,47.106,46.811,47.012
2001-07-31,47.018,47.24,47.001,47.08
2001-08-31,47.14,47.199,47.01,47.096
2001-09-30,47.096,48.431,47.075,47.826
2001-10-31,47.883,48.208,47.846,47.967
2001-11-30,47.987,48.111,47.881,47.928
2001-12-31,47.953,48.385,47.711,48.197
2002-01-31,48.293,48.646,48.011,48.511
2002-02-28,48.499,48.895,48.456,48.682
2002-03-31,48.716,48.875,48.606,48.758
2002-04-30,48.758,49.097,48.736,48.902
2002-05-31,48.907,49.113,48.875,48.981
2002-06-30,48.986,49.102,48.77,48.83
2002-07-31,48.859,48.906,48.605,48.64
2002-08-31,48.63,48.755,48.41,48.44
2002-09-30,48.469,48.609,48.305,48.319
2002-10-31,48.349,48.519,48.255,48.329
2002-11-30,48.314,48.394,48.11,48.284
2002-12-31,48.26,48.381,47.86,47.9
2003-01-31,48.027,48.03,47.7,47.75
2003-02-28,47.7,47.9,47.5,47.56
2003-03-31,47.56,47.81,47.373,47.559
2003-04-30,47.562,47.607,47.365,47.433
2003-05-31,47.436,47.529,46.745,47.052
2003-06-30,47.052,47.224,46.297,46.364
2003-07-31,46.362,46.511,46.002,46.105
2003-08-31,46.105,46.231,45.767,45.857
2003-09-30,45.852,46.067,45.647,45.652
2003-10-31,45.752,45.752,45.145,45.31
2003-11-30,45.23,45.957,45.16,45.72
2003-12-31,45.65,45.782,45.4,45.59
2004-01-31,45.5,45.71,45.17,45.22
2004-02-29,45.2,45.325,45.1,45.16
2004-03-31,45.242,45.332,43.3,43.3
2004-04-30,43.2,44.5,43.2,44.42
2004-05-31,44.43,45.95,44.37,45.47
2004-06-30,45.4,46.26,44.86,45.95
2004-07-31,45.94,46.495,45.58,46.35
2004-08-31,46.4,46.482,46.13,46.28
2004-09-30,46.28,46.362,45.7,45.9
2004-10-31,45.89,45.93,45.28,45.31
2004-11-30,45.3,45.52,44.45,44.45
2004-12-31,44.52,44.75,43.23,43.23
2005-01-31,43.37,44.08,43.28,43.6
2005-02-28,43.67,43.84,43.24,43.57
2005-03-31,43.55,43.835,43.39,43.68
2005-04-30,43.61,43.84,43.38,43.38
2005-05-31,43.58,43.765,43.13,43.67
2005-06-30,43.64,43.752,43.355,43.512
2005-07-31,43.52,43.678,43.36,43.479
2005-08-31,43.45,44.17,43.41,44.143
2005-09-30,44.111,44.125,43.73,43.92
2005-10-31,44.105,45.345,44.095,45.135
2005-11-30,45.11,46.02,45.07,45.939
2005-12-31,45.986,46.392,45.02,45.02
2006-01-31,45.071,45.093,43.995,44.13
2006-02-28,44.135,44.646,44.11,44.32
2006-03-31,44.367,44.71,44.225,44.619
2006-04-30,44.612,45.311,44.47,45.006
2006-05-31,44.887,46.437,44.835,46.355
2006-06-30,46.25,46.435,45.8,46.03
2006-07-31,45.977,47.05,45.93,46.54
2006-08-31,46.655,46.725,46.37,46.53
2006-09-30,46.445,46.455,45.82,45.92
2006-10-31,45.84,45.85,44.96,44.99
2006-11-30,44.92,45.34,44.5,44.75
2006-12-31,44.68,44.94,44.22,44.29
2007-01-31,44.21,44.61,44.14,44.15
2007-02-28,44.07,44.32,44.05,44.28
2007-03-31,44.27,44.66,43.09,43.51
2007-04-30,43.23,43.27,40.76,41.18
2007-05-31,41.17,41.34,40.45,40.65
2007-06-30,40.53,41.17,40.46,40.68
2007-07-31,40.66,40.71,40.21,40.34
2007-08-31,40.62,41.87,40.32,40.94
2007-09-30,40.87,40.965,39.69,39.73
2007-10-31,39.72,39.88,39.28,39.33
2007-11-30,39.32,39.87,39.075,39.66
2007-12-31,39.58,39.66,39.33,39.42
2008-01-31,39.41,39.68,39.25,39.37
2008-02-29,39.33,40.22,39.32,39.99
2008-03-31,40.32,40.82,39.85,39.94
2008-04-30,39.98,40.6,39.87,40.59
2008-05-31,40.65,43.21,40.53,42.45
2008-06-30,42.175,43,42.175,42.96
2008-07-31,43.085,43.45,41.82,42.56
2008-08-31,42.5,44.11,41.87,43.85
2008-09-30,44.16,47.7,44.03,47.18
2008-10-31,47.13,50.29,46.6,49.35
2008-11-30,48.99,50.54,46.81,49.96
